DIVISION,DATE,SALES ($),DEMAND (No. of Handsets),SALES (No. of Handsets),CH1_SMS,CH2_Newspaper ads,CH3_Radio,CH4_TV,CH5_Pay Per Click,CH_6_Offline,CH_7_Contest,CH_8_Coupons,CH_9_Internet,CH_10_Email to customers,CH_11_Facebook Post,CH_12_Facebook ads,CH_13_Sponsership,CH_14_Newsletter article,CH_15_Direct mail,CH_16_Poster,"Variables,Adstock,Power,Lag"
HANDSET MANUFACTURING UNIT,7/3/2010,2654399.97,10988,6240,59.1026,13.206593,78.6058,1369.3491,817.581,31.3919,6.5382,6.9866,3984.429,81.9091,225.1818,816.2727,223.89545,37.4091,5.4091,9.3182,
HANDSET MANUFACTURING UNIT,8/3/2010,2573375.05,13113,6482,61.1351,12.775135,76.2872,1341.7297,1288.844,31.1817,4.8666,6.3612,3943.524,98.6818,224.5455,855.8636,180.00455,40.5,3,7.9091,
HANDSET MANUFACTURING UNIT,9/3/2010,2199014.53,20763,17542,53.7865,12.940132,74.9424,1323.5526,540.757,31.5487,3.0925,2.2721,5732,111.0455,232.8636,791.3636,187.58182,22.7273,2.4545,6.9091,
HANDSET MANUFACTURING UNIT,10/3/2010,3391749.03,15178,5759,71.5344,13.742857,90.9226,1448.9683,1244.833,31.3605,1.2052,1.2667,4794.048,93.0455,200,889.3636,176.74091,24.5909,2.8636,6.8182,
HANDSET MANUFACTURING UNIT,11/3/2010,3425295.06,17716,6841,64.2846,13.314926,83.8178,1382.5472,1758.402,0,1.281,1.8025,4364.333,133.5,244.9091,1398.6364,207.02727,28.1818,3.2273,6.3182,
HANDSET MANUFACTURING UNIT,12/3/2010,1374734.86,17679,6456,65.7941,12.818661,84.1001,1347.2513,1030.257,0,6.7235,14.6349,4294.238,86.7727,258.7727,755.4545,167.29091,38.2727,4,12.1364,
HANDSET MANUFACTURING UNIT,13-03-2010,3523479.91,17752,5453,62.4,13.546531,82.5964,1416.1714,1418.209,33.6281,6.7597,13.5754,3653.238,121.1818,305.2727,1097.0455,204.51818,39.8182,4.5,9.6818,
HANDSET MANUFACTURING UNIT,14-03-2010,3342499.05,21179,5134,53.7727,12.961169,74.8977,1344.9545,715.315,0,7.2103,6.3902,3609.905,94.1364,235.6818,781.4545,180.31364,26.2727,3.9091,7.5455,
HANDSET MANUFACTURING UNIT,15-03-2010,3411083.15,28358,4279,52.8214,13.362325,71.2132,1351.5686,917.361,0,1.8015,3.246,4121.333,107.1364,281.2727,977,206.71818,25.5,2.8636,7.4091,
HANDSET MANUFACTURING UNIT,16-03-2010,1410847.91,28051,5212,57.7518,12.776208,78.5612,1324.1547,1791.183,0,5.5035,4.1672,4237.095,95.8636,234.8182,1045.8636,202.64091,46.0455,2.7273,21.4091,
HANDSET MANUFACTURING UNIT,17-03-2010,1348897.26,29027,75245,51.1271,11.920452,72.7743,1257.518,1438.156,0,7.4,4.3297,5421.762,98.8636,239.5455,1194.5909,221.76364,25.0909,3.1364,8.3636,
HANDSET MANUFACTURING UNIT,18-03-2010,1360883.22,33027,56280,52.1501,12.719017,71.1201,1302.2078,1296.546,66.0518,7.1903,3.8184,3889.762,84.0455,229.9545,1077.9545,206.75909,33.5455,4.6818,8.8182,
HANDSET MANUFACTURING UNIT,19-03-2010,1428057.03,37128,46240,51.7909,12.351222,75.2632,1311.1184,1606.041,31.3291,10.7713,6.4795,0,106.0455,229.2727,1248.6364,208.33182,35.6818,2.7273,10.7273,
HANDSET MANUFACTURING UNIT,20-03-2010,1352058.64,35627,16482,48.2576,12.586364,67.7699,1285.6818,733.219,31.442,9.3036,6.0275,4385.238,163,220.1364,863.9091,186.7,35.5909,3.9091,11.8182,
HANDSET MANUFACTURING UNIT,21-03-2010,1392976.88,29245,77542,66.1017,13.261653,90.58,1389.4068,559.335,98.8613,13.9809,13.0573,4190.619,97.1364,231.2273,931.4545,196.25909,57,8.2727,15.3182,
HANDSET MANUFACTURING UNIT,22-03-2010,1367597.63,43072,55759,59.9742,13.437482,83.5535,1403.4278,594.017,81.0844,6.9417,9.4272,4585.81,227.4091,348.1818,5330.5909,520.68182,49.5,8.2273,12.3182,
HANDSET MANUFACTURING UNIT,23-03-2010,1428164.04,29809,16841,55.2248,13.235382,74.939,1407.8372,1528.002,60.6353,13.719,9.2575,4315.667,217.6364,246.2273,1589.4545,245.83182,44.6364,7.0909,10.6818,
HANDSET MANUFACTURING UNIT,24-03-2010,1440122.79,18386,46456,41.9396,10.782832,72.2697,1124.5614,1456.185,20.4679,16.6322,13.1069,3302.667,906.7727,254.8182,1904.4545,221.11818,40.0455,8,11.4091,
HANDSET MANUFACTURING UNIT,25-03-2010,1464373.81,51578,45453,41.6303,10.945789,77.2762,1151.9869,1309.68,5.8744,15.1449,13.5712,4852.238,1169.4091,272.7273,2055.2727,200.12727,37.8182,4.9091,7.8636,
HANDSET MANUFACTURING UNIT,26-03-2010,1574096.07,58057,45134,41.6467,10.320488,74.1467,1067.1557,1074.439,118.4667,14.1612,9.9884,4218.524,124,243.8182,1194.0455,237.22273,136.6364,10.7273,26.1364,
HANDSET MANUFACTURING UNIT,27-03-2010,1557580.55,55493,44279,43.8592,10.441019,82.8277,1122.3786,1201.36,33.12,11.77,8.1795,3900.429,84.6818,223.3182,859.0909,182.56818,53.5455,6.6364,14.2273,
HANDSET MANUFACTURING UNIT,28-03-2010,1484115.52,86622,65212,48.425,11.099679,92.7469,1155.225,1321.858,64.7,9.2239,11.6513,4992.524,76,199.4545,920.6818,168.70455,42.6364,5.0909,8.6818,
HANDSET MANUFACTURING UNIT,29-03-2010,1436107.73,61103,55245,41.2437,10.780856,74.2386,1114.6447,1051.006,85.2464,5.3577,9.4233,4108.857,87.1364,403.7727,1091.8182,199.58182,31.4091,4.3636,7.4091,
HANDSET MANUFACTURING UNIT,30-03-2010,1430238.06,68092,16280,38.057,10.027128,75.1457,1070.1295,935.436,7.3203,9.1393,10.0477,3149.857,110.7727,268.5455,1095.4091,202.06364,54.3182,4.8636,15.1818,
HANDSET MANUFACTURING UNIT,31-03-2010,1420375.22,59401,46240,38.1959,10.518225,79.5329,1105.0515,1674.99,35.0395,9.9726,10.9754,3783,96.7273,225.7727,861.1364,179.77727,33.7727,4.3636,8.7727,
HANDSET MANUFACTURING UNIT,1/4/2010,1567453.13,22681,6482,40.6498,10.727556,81.7345,1115.9174,1066.52,0,5.2553,7.1372,3883.095,131.6818,210.3182,849.5455,165.47273,40.3182,3.9091,10.6364,
HANDSET MANUFACTURING UNIT,2/4/2010,1556214.14,69714,7542,41.3988,10.489955,73.4515,1080.4018,1119.701,70.3706,12.7822,8.1107,3695.714,152.5,214.1818,950.0909,183.65909,41.1364,5.7273,8.8636,
HANDSET MANUFACTURING UNIT,3/4/2010,1599635.17,13816,5759,48.3967,11.065644,83.9878,1155.6522,1153.756,101.5147,15.3318,6.3375,4390.143,95.1364,226.2273,852.8182,188.88636,37.2727,4.0909,11.5,
HANDSET MANUFACTURING UNIT,4/4/2010,1649371.25,11756,6841,42.5309,10.512018,77.8968,1084.3651,1430.851,101.9914,12.5091,6.1999,4997.381,106.3182,282,901,295.58636,234.3636,6.7727,40.3182,
HANDSET MANUFACTURING UNIT,5/4/2010,2011474.31,14009,6456,44.4388,10.814541,81.4573,1140.6888,996.813,33.7128,13.4775,8.5753,4414.286,92.0455,246.8182,962.8182,271.43182,63.3636,4.9091,19.2727,
HANDSET MANUFACTURING UNIT,6/4/2010,1475088.49,49740,55453,42.6279,11.224485,79.3605,1176.2093,390.3756,0,9.6319,8.0209,3298.952,891.5664,1540.4294,7307.3182,1265.03182,420.1434,70.377,132.5565,
HANDSET MANUFACTURING UNIT,7/4/2010,7483649.01,107985,95134,49.221,10.995497,86.8139,1151.5217,462.8413,17.6288,12.6888,10.5666,2838.129,173.3708,394.712,1420.9545,324.14545,115.1328,13.6853,33.9656,
HANDSET MANUFACTURING UNIT,8/4/2010,7784397.08,121935,94279,46.2566,11.370578,84.5387,1162.7381,676.4964,27.254,12.4105,10.3348,2744.632,165.5566,493.4066,1356.9091,405.19545,122.0427,13.0684,42.4584,
HANDSET MANUFACTURING UNIT,9/4/2010,7688607.25,110698,95212,42.2917,11.085268,79.8047,1147.7163,694.4416,54.2678,16.4192,13.673,4937.903,149.4013,543.3876,1224.5,446.24091,127.8651,11.7932,46.7594,
HANDSET MANUFACTURING UNIT,10/4/2010,8239725.88,194874,95245,38.9348,10.688346,72.2086,1090.9399,646.6664,61.0317,9.9243,6.4891,2590.9,108.051,280.2315,885.5909,230.13182,83.1428,8.5292,24.1144,
HANDSET MANUFACTURING UNIT,11/4/2010,9723975.89,142953,106280,44.3651,10.86308,79.3506,1129.2857,606.9556,0,9.4877,6.2037,1628.172,163.1774,580.3669,1337.4091,476.60909,129.5048,12.8806,49.9415,
HANDSET MANUFACTURING UNIT,12/4/2010,5272513.98,80005,96240,38.7023,10.894057,79.2653,1151.4504,715.7929,60.3637,4.2891,2.8045,3563.992,115.3161,249.0141,945.1364,204.49545,77.8825,9.1026,21.4281,
HANDSET MANUFACTURING UNIT,13-04-2010,8567356.9,135457,96482,46.6838,11.338144,81.9201,1179.433,323.3644,0,5.248,3.4315,0,113.4305,240.695,929.6818,197.66364,71.5333,8.9538,20.7122,
HANDSET MANUFACTURING UNIT,14-04-2010,9434288.64,189110,97542,41.5698,10.810839,78.3685,1107.2965,78.5261,15.024,0.5152,4.3116,2360.512,123.818,311.9083,1014.8182,256.14545,80.3637,9.7737,26.8402,
HANDSET MANUFACTURING UNIT,15-04-2010,8499431.32,123374,95759,42.8271,11.439653,77.9089,1161.9393,132.1241,15.1587,0.4774,3.9946,2675.608,168.141,304.1815,1378.0909,249.8,91.3179,13.2724,26.1753,
HANDSET MANUFACTURING UNIT,16-04-2010,7480844.15,116071,96841,37.9167,11.885714,62.9688,1251.25,85.0218,20.9779,0.5124,4.2879,2705.771,178.9666,381.9316,1466.8182,313.65,123.3008,14.127,32.8658,
HANDSET MANUFACTURING UNIT,17-04-2010,7312018.52,105031,96456,38.9348,10.688346,79.3506,1090.9399,42.8481,36.3533,0.4968,4.1571,4268.157,131.8041,378.6272,1080.2727,310.93636,109.6743,10.4041,32.5815,
HANDSET MANUFACTURING UNIT,18-04-2010,9734288.64,189110,95453,41.5698,10.810839,78.3685,1107.2965,78.5261,15.024,0.5152,4.3116,2360.512,123.818,311.9083,1014.8182,256.14545,80.3637,9.7737,26.8402,
HANDSET MANUFACTURING UNIT,19-04-2010,8699431.32,123374,95134,42.8271,11.439653,77.9089,1161.9393,132.1241,15.1587,0.4774,3.9946,2675.608,168.141,304.1815,1378.0909,249.8,91.3179,13.2724,26.1753,
HANDSET MANUFACTURING UNIT,20-04-2010,7680844.15,116071,84279,37.9167,11.885714,62.9688,1251.25,85.0218,20.9779,0.5124,4.2879,2705.771,178.9666,381.9316,1466.8182,313.65,123.3008,14.127,32.8658,
HANDSET MANUFACTURING UNIT,21-04-2010,7712018.52,105031,85212,38.7023,10.688346,79.3506,1090.9399,42.8481,36.3533,0.4968,4.1571,4268.157,131.8041,378.6272,1080.2727,310.93636,109.6743,10.4041,32.5815,
HANDSET MANUFACTURING UNIT,22-04-2010,1533299.16,4384,5245,77.4819,14.104193,112.337,1479.4565,95.333,11.8398,10.3024,9.702,722.571,91,276.3636,756.5909,181.36364,72.7727,13.0455,27.0455,
HANDSET MANUFACTURING UNIT,23-04-2010,1681816.96,4366,6280,73.4783,13.298758,105.7133,1369.8913,114.957,27.8039,5.5246,10.647,717.857,111.9091,291.3182,860.1364,208.62727,376.8636,32.9545,158.4545,
